,matchID,WIN,GOLDEARNED_x,TOTALMINIONSKILLED_x,KILLS_x,ASSISTS_x,DEATHS_x,VISIONSCORE_x,TOTALDAMAGEDEALTTOCHAMPIONS_x,GOLDEARNED_y,TOTALMINIONSKILLED_y,KILLS_y,ASSISTS_y,DEATHS_y,VISIONSCORE_y,TOTALDAMAGEDEALTTOCHAMPIONS_y,GOLDEARNED_ratio,TOTALMINIONSKILLED_ratio,KILLS_ratio,ASSISTS_ratio,DEATHS_ratio,VISIONSCORE_ratio,TOTALDAMAGEDEALTTOCHAMPIONS_ratio
5971,2213993305,0,47221,570,21,35,34,129,72942,60670,611,34,49,21,171,77516,0.7783253667380913,0.9328968903436988,0.6176470588235294,0.7142857142857143,1.619047619047619,0.7543859649122807,0.9409928272872697
5972,2214369811,0,35139,499,11,8,41,80,51923,54642,503,41,45,11,130,82017,0.6430767541451631,0.9920477137176938,0.2682926829268293,0.17777777777777778,3.727272727272727,0.6153846153846154,0.6330760695953278
5973,2214575566,0,25446,336,7,6,25,33,27456,39999,425,25,20,8,80,39895,0.6361659041476037,0.7905882352941176,0.28,0.3,3.125,0.4125,0.6882065421732046
5974,2214582935,0,59068,674,33,41,34,143,110559,66884,722,34,61,33,150,110699,0.8831409604688715,0.9335180055401662,0.9705882352941176,0.6721311475409836,1.0303030303030303,0.9533333333333334,0.998735309262053
5975,2214591551,0,22572,305,7,10,22,38,30204,37029,429,22,24,7,66,38871,0.6095762780523374,0.710955710955711,0.3181818181818182,0.4166666666666667,3.142857142857143,0.5757575757575758,0.7770317203056263
5976,2214607179,0,49034,636,22,27,28,136,63649,62063,650,28,56,23,140,86312,0.7900681565506018,0.9784615384615385,0.7857142857142857,0.48214285714285715,1.2173913043478262,0.9714285714285714,0.737429326165539
5977,2214713676,0,34404,438,13,13,22,99,47800,41433,431,22,38,13,97,40329,0.8303526174788213,1.0162412993039442,0.5909090909090909,0.34210526315789475,1.6923076923076923,1.0206185567010309,1.1852513079917677
5978,2214751377,0,19636,296,1,1,19,38,17583,33282,402,19,24,1,54,34718,0.5899885824169221,0.736318407960199,0.05263157894736842,0.041666666666666664,19.0,0.7037037037037037,0.5064519845613227
5979,2214775945,0,28290,409,6,5,21,57,32080,36632,397,21,27,6,76,40854,0.7722756060275169,1.0302267002518892,0.2857142857142857,0.18518518518518517,3.5,0.75,0.7852352278846625
5980,2215379037,0,72132,862,30,47,31,305,96810,76614,898,31,51,30,282,106262,0.9414989427519774,0.9599109131403119,0.967741935483871,0.9215686274509803,1.0333333333333334,1.0815602836879432,0.9110500461124391
5981,2217137722,0,35176,430,13,19,26,104,41088,43438,428,26,32,13,121,49230,0.8097978728302409,1.0046728971962617,0.5,0.59375,2.0,0.859504132231405,0.834613040828763
5982,2217189731,0,42928,579,18,26,34,81,50802,58859,619,34,37,18,121,73041,0.7293362102652101,0.9353796445880452,0.5294117647058824,0.7027027027027027,1.8888888888888888,0.6694214876033058,0.6955271696718281
5983,2218306653,0,50636,676,17,28,36,150,79514,62467,653,36,54,17,167,82490,0.8106039989114252,1.0352220520673814,0.4722222222222222,0.5185185185185185,2.1176470588235294,0.8982035928143712,0.9639228997454237
5984,2218381926,0,63749,795,28,34,37,197,108874,68868,684,37,59,29,166,129532,0.9256693965266888,1.162280701754386,0.7567567567567568,0.576271186440678,1.2758620689655173,1.1867469879518073,0.8405181731155236
5985,2218387745,0,64205,623,36,55,46,156,119168,69996,682,46,57,36,176,135478,0.9172667009543403,0.9134897360703812,0.782608695652174,0.9649122807017544,1.2777777777777777,0.8863636363636364,0.8796114498294926
5986,2218443142,0,47190,714,13,21,31,89,59811,61192,639,31,37,13,136,73814,0.7711792391162243,1.1173708920187793,0.41935483870967744,0.5675675675675675,2.3846153846153846,0.6544117647058824,0.8102934402687837
5987,2218457696,0,48222,576,19,27,41,107,89254,57085,511,41,73,19,177,95689,0.8447402995532978,1.1272015655577299,0.4634146341463415,0.3698630136986301,2.1578947368421053,0.6045197740112994,0.9327508909070008
5988,2218502926,0,33785,325,17,26,33,84,54563,46347,450,33,37,17,105,61089,0.7289576455865536,0.7222222222222222,0.5151515151515151,0.7027027027027027,1.9411764705882353,0.8,0.8931722568711224
5989,2218562410,0,30474,398,5,5,26,67,30196,40879,450,26,28,5,129,46247,0.745468333374104,0.8844444444444445,0.19230769230769232,0.17857142857142858,5.2,0.5193798449612403,0.6529288386273704
5990,2218703177,0,30759,434,8,7,21,49,38361,42066,514,21,26,8,85,49159,0.7312081015546997,0.8443579766536965,0.38095238095238093,0.2692307692307692,2.625,0.5764705882352941,0.7803454097927134
5991,2219081824,0,55619,529,32,44,37,150,76612,60892,495,37,54,32,115,77641,0.9134040596465874,1.0686868686868687,0.8648648648648649,0.8148148148148148,1.15625,1.3043478260869565,0.9867466931131748
5992,2219210651,0,50697,573,25,41,31,128,64251,59767,585,31,54,25,130,83169,0.8482440142553583,0.9794871794871794,0.8064516129032258,0.7592592592592593,1.24,0.9846153846153847,0.7725354398874581
5993,2219263552,0,41101,498,15,13,34,104,53160,53288,586,34,50,15,119,68419,0.7712993544512836,0.8498293515358362,0.4411764705882353,0.26,2.2666666666666666,0.8739495798319328,0.7769771554685102
5994,2219272704,0,51550,482,29,41,38,146,99705,57046,503,38,62,29,147,112076,0.9036566981032851,0.9582504970178927,0.7631578947368421,0.6612903225806451,1.3103448275862069,0.9931972789115646,0.8896195438809379
5995,2219746398,0,54750,607,26,33,38,204,89986,69351,666,38,61,26,215,108065,0.7894623004715144,0.9114114114114115,0.6842105263157895,0.5409836065573771,1.4615384615384615,0.9488372093023256,0.83270254013788
5996,2220857703,0,30782,221,14,23,27,96,42820,37492,263,21,30,20,118,48831,0.8210284860770297,0.8403041825095057,0.6666666666666666,0.7666666666666667,1.35,0.8135593220338984,0.8769019680121235
5997,2221748218,0,30783,365,10,15,31,83,43878,42418,397,31,46,10,100,62992,0.7257060681786034,0.9193954659949622,0.3225806451612903,0.32608695652173914,3.1,0.83,0.6965646431292862
5998,2221755210,0,22275,339,10,12,26,44,34711,30156,412,25,16,14,58,45082,0.7386589733386391,0.8228155339805825,0.4,0.75,1.8571428571428572,0.7586206896551724,0.7699525309436138
5999,2221838589,0,23827,299,8,9,23,64,29419,34272,320,22,31,8,58,39947,0.6952322595704948,0.934375,0.36363636363636365,0.2903225806451613,2.875,1.103448275862069,0.736450797306431
6000,2221864900,0,35679,362,19,23,35,77,46081,41992,384,35,33,19,90,51734,0.8496618403505429,0.9427083333333334,0.5428571428571428,0.696969696969697,1.8421052631578947,0.8555555555555555,0.8907295009084935
6001,2221933307,0,57868,581,33,56,37,130,73026,67631,684,37,67,33,159,101936,0.855643122236844,0.8494152046783626,0.8918918918918919,0.835820895522388,1.121212121212121,0.8176100628930818,0.7163906765029038
6002,2222381620,0,63845,653,36,49,46,156,112192,69382,619,46,65,36,167,110158,0.9201954397394136,1.0549273021001615,0.782608695652174,0.7538461538461538,1.2777777777777777,0.9341317365269461,1.0184643875161132
6003,2222391823,0,57512,744,23,23,35,136,73267,66298,744,35,36,23,145,89471,0.8674771486319346,1.0,0.6571428571428571,0.6388888888888888,1.5217391304347827,0.9379310344827586,0.8188910373193549
6004,2222867844,0,47360,577,16,22,36,131,54743,54310,588,36,37,16,122,74977,0.8720309335297367,0.9812925170068028,0.4444444444444444,0.5945945945945946,2.25,1.0737704918032787,0.7301305733758352
6005,2223043028,0,52667,585,28,35,42,140,76208,62893,584,42,37,28,151,103212,0.8374063886283052,1.0017123287671232,0.6666666666666666,0.9459459459459459,1.5,0.9271523178807947,0.7383637561523854
6006,2223057851,0,49011,520,24,38,45,113,75777,62152,508,45,69,24,111,98443,0.7885667396061269,1.0236220472440944,0.5333333333333333,0.5507246376811594,1.875,1.018018018018018,0.7697550866999178
